Product Name,Price,Product Link
Old El Paso Mexican 8 Stand 'N' Stuff Soft Flour Tortillas,"now
£2.30",https://groceries.asda.com/product/tortillas-tacos-rice/old-el-paso-mexican-8-stand-n-stuff-soft-flour-tortillas/910001346904
Ben's Original Mixed Pepper Microwave Rice,"now
£1.06",https://groceries.asda.com/product/flavoured-microwave-rice/bens-original-mixed-pepper-microwave-rice/1000383175241
Ben's Original Chinese Style Microwavable Rice,"now
£1.06",https://groceries.asda.com/product/flavoured-microwave-rice/bens-original-chinese-style-microwavable-rice/1000383175100
Tilda Coconut Basmati Rice,"now
£1.25",https://groceries.asda.com/product/long-grain-basmati-microwave-rice/tilda-coconut-basmati-rice/910000782205
Old El Paso Mexican 8 Regular Super Soft Flour Tortilla Wraps,"now
£1.80",https://groceries.asda.com/product/tortillas-tacos-rice/old-el-paso-mexican-8-regular-super-soft-flour-tortilla-wraps/21220
Tilda Caribbean Rice and Peas Basmati Rice,"now
£1.25",https://groceries.asda.com/product/flavoured-microwave-rice/tilda-caribbean-rice-and-peas-basmati-rice/1000051700200
Ben's Original Savoury Chicken Flavour Microwave Rice,"now
£1.06",https://groceries.asda.com/product/flavoured-microwave-rice/bens-original-savoury-chicken-flavour-microwave-rice/1000383175240
Tilda Pure Basmati Rice,"now
£4.88",https://groceries.asda.com/product/long-grain-basmati-rice/tilda-pure-basmati-rice/910000258502
Ben's Original Basmati Microwave Rice,"now
£0.94",https://groceries.asda.com/product/long-grain-basmati-microwave-rice/bens-original-basmati-microwave-rice/1000383151170
Laila Basmati Rice,"now
£12.34",https://groceries.asda.com/product/indian-asian-rice/laila-basmati-rice/60764510
Tilda Lime & Coriander Basmati Rice,"now
£1.25",https://groceries.asda.com/product/flavoured-microwave-rice/tilda-lime-coriander-basmati-rice/56724314
Laila Basmati Rice 2kg,"now
£3.97",https://groceries.asda.com/product/indian-asian-rice/laila-basmati-rice-2-kg/910003156329
Laila Supreme Extra Long Rice Grains,"now
£8.53",https://groceries.asda.com/product/indian-asian-rice/laila-supreme-extra-long-rice-grains/910002466356
Tilda Lemon Basmati Rice,"now
£1.25",https://groceries.asda.com/product/flavoured-microwave-rice/tilda-lemon-basmati-rice/910000782198
Tilda Brown Basmati and Wild Rice,"now
£1.25",https://groceries.asda.com/product/long-grain-basmati-microwave-rice/tilda-brown-basmati-and-wild-rice/910002091727
ASDA White Basmati Rice,"now
£1.30",https://groceries.asda.com/product/long-grain-basmati-rice/asda-white-basmati-rice/391911
ASDA White Basmati Rice,"now
£3.60",https://groceries.asda.com/product/long-grain-basmati-rice/asda-white-basmati-rice/37533
Tilda Pure Basmati Rice,"now
£1.00",https://groceries.asda.com/product/long-grain-basmati-microwave-rice/tilda-pure-basmati-rice/56724309
ASDA Long Grain Micro Rice,"now
£0.60",https://groceries.asda.com/product/long-grain-basmati-microwave-rice/asda-long-grain-micro-rice/910002524766
ASDA Mexican Style Micro Rice 250g,"now
£0.75",https://groceries.asda.com/product/mexican-microwave-rice/asda-mexican-style-micro-rice-250-g/910002524735
ASDA Basmati Micro Rice,"now
£0.60",https://groceries.asda.com/product/long-grain-basmati-microwave-rice/asda-basmati-micro-rice/910002524788
Dolmio Pronto Pasta Twists,"now
£1.83",https://groceries.asda.com/product/microwave-pasta/dolmio-pronto-pasta-twists/1000383168954
ASDA Golden Vegetable Micro Rice 250g,"now
£0.75",https://groceries.asda.com/product/flavoured-microwave-rice/asda-golden-vegetable-micro-rice-250-g/910002524753
ASDA 4 Pack Boil in the Bag Long Grain Rice,"now
£1.20",https://groceries.asda.com/product/long-grain-basmati-rice/asda-4-pack-boil-in-the-bag-long-grain-rice/24124
Veetee Basmati,"now
£0.94",https://groceries.asda.com/product/long-grain-basmati-microwave-rice/veetee-basmati/1000288567991
Veetee Sticky Rice 2 Portions,"now
£0.94",https://groceries.asda.com/product/egg-fried-east-asian-microwave-rice/veetee-sticky-rice-2-portions/1000288567945
ASDA Long Grain White Rice 1kg,"now
£1.25",https://groceries.asda.com/product/long-grain-basmati-rice/asda-long-grain-white-rice-1-kg/1000383234824
ASDA 4 Pack Boil in the Bag Basmati Rice,"now
£2.00",https://groceries.asda.com/product/long-grain-basmati-rice/asda-4-pack-boil-in-the-bag-basmati-rice/419021
ASDA Wholegrain Micro Rice 250g,"now
£0.60",https://groceries.asda.com/product/brown-rice-quinoa-grains/asda-wholegrain-micro-rice-250-g/910002524771
ASDA Pilau Micro Rice,"now
£0.60",https://groceries.asda.com/product/pilau-indian-microwavable-rice/asda-pilau-micro-rice/910002524752
JUST ESSENTIALS by ASDA Golden Vegetable Savoury Rice,"now
£0.28",https://groceries.asda.com/product/savoury-rice-cous-cous/just-essentials-by-asda-golden-vegetable-savoury-rice/35680
ASDA Egg Fried Micro Rice 250g,"now
£0.75",https://groceries.asda.com/product/egg-fried-east-asian-microwave-rice/asda-egg-fried-micro-rice-250-g/910002524751
ASDA Brown Basmati Rice,"now
£3.25",https://groceries.asda.com/product/long-grain-basmati-rice/asda-brown-basmati-rice/79275402
