Product Name,Price,Product Link
Alpro Vanilla Soya Yoghurt Alternative,"now
£1.82",https://groceries.asda.com/product/dairy-free-chilled-food/alpro-vanilla-soya-yoghurt-alternative/910000429544
Weetabix Cereal,"now
£6.48",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/weetabix-cereal/81159231
ASDA 24 Wheat Bisks,"now
£1.90",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/asda-24-wheat-bisks/21055
Kellogg's Wheats Blueberry Breakfast Cereal,"now
£1.95",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/kelloggs-wheats-blueberry-breakfast-cereal/1000330943200
Weetabix Cereal,"now
£5.49",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/weetabix-cereal/19192
Shredded Wheat Red Berry Wheats,"now
£2.00",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/shredded-wheat-red-berry-wheats/1000383231344
Weetabix Cereal 24 Pack,"now
£3.47",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/weetabix-cereal-24-pack/19191
Kellogg's Frosted Wheats Breakfast Cereal,"now
£1.95",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/kelloggs-frosted-wheats-breakfast-cereal/1000330943268
Weetabix Cereal 12 Pack,"now
£1.99",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/weetabix-cereal-12-pack/35665
Kellogg's Wheats Apricot Breakfast Cereal,"now
£1.95",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/kelloggs-wheats-apricot-breakfast-cereal/1000330943236
Kellogg's Raisin Wheats Cereal,"now
£1.95",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/kelloggs-raisin-wheats-cereal/1000330943334
Nestle Shredded Wheat 24 Biscuits,"now
£3.25",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/nestle-shredded-wheat-24-biscuits/1000304248692
ASDA 24 Chocolate Wheat Bisks,"now
£2.50",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/asda-24-chocolate-wheat-bisks/910002901356
ASDA Bulgur Wheat 500g,"now
£2.00",https://groceries.asda.com/product/dried-pulses-lentils-couscous/asda-bulgur-wheat-500-g/910001795441
Nestle Shredded Wheat Bitesize,"now
£3.50",https://groceries.asda.com/product/family-cereals/nestle-shredded-wheat-bitesize/1000267584772
Nestle Shredded Wheat Honey & Nut,"now
£3.50",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/nestle-shredded-wheat-honey-nut/34702
Weetabix Chocolate Cereal,"now
£3.50",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/weetabix-chocolate-cereal/910000313781
Schöfferhofer Wheat Beer Mix Grapefruit,"now
£2.20",https://groceries.asda.com/product/fruity-beers/schofferhofer-wheat-beer-mix-grapefruit/1000344534569
Kellogg's Choco Wheats Cereal,"now
£1.95",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/kelloggs-choco-wheats-cereal/1000330943168
Shredded Wheat Blueberry Wheats 450g,"now
£2.00",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/shredded-wheat-blueberry-wheats-450-g/1000383231329
Weetabix Banana Cereal,"now
£3.50",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/weetabix-banana-cereal/910001268473
Weetabix Weetabix Protein Cereal 24,"now
£3.50",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/weetabix-weetabix-protein-cereal-24/910002244934
Gama Coarse Boulgur Wheat,"now
£2.80",https://groceries.asda.com/product/mediterranean-pasta-grains/gama-coarse-boulgur-wheat/1000000463363
ASDA 8 White & Wheat Wraps 488g,"now
£1.10",https://groceries.asda.com/product/wraps/asda-8-white-wheat-wraps-488-g/910000565889
Nestle Shredded Wheat 16 Original Biscuits,"now
£2.98",https://groceries.asda.com/product/wheat-biscuits-mini-wheats/nestle-shredded-wheat-16-original-biscuits/67824091
